transaction_date,transaction_year,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,cap_gains_over_200_usd,industry,sector,party,ticker_price,qqq_price
10/25/22,2022,FB,Meta Platforms Inc - Class A,purchase,1001,15000,8001,Dan Crenshaw,TX02,TX,FALSE,"Computer Software: Programming, Data Processing",Technology,Republican,104.93,284.209991
10/21/22,2022,ADBE,Adobe Inc,purchase,1001,15000,8001,John Curtis,UT03,UT,FALSE,Computer Software: Prepackaged Software,Technology,Republican,306.37,275.420013
10/19/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,143.86,270.48999
10/19/22,2022,TTD,The Trade Desk Inc - Class A,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,143.86,270.48999
10/17/22,2022,CTSH,Cognizant Technology Solutions Corporation - Class A,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,59.88,269.350006
10/17/22,2022,MDB,MongoDB Inc - Class A,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Retail: Computer Software & Peripheral Equipment,Technology,Democrat,59.88,269.350006
10/17/22,2022,NVDA,NVIDIA Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Semiconductors,Technology,Democrat,59.88,269.350006
10/17/22,2022,CRM,Salesforce Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,59.88,269.350006
10/12/22,2022,GOOGL,Alphabet Inc - Class A,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,97.56,262.660004
10/12/22,2022,AMAT,Applied Materials Inc,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Semiconductors,Technology,Democrat,97.56,262.660004
10/12/22,2022,INTC,Intel Corporation,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Semiconductors,Technology,Democrat,97.56,262.660004
10/12/22,2022,INTU,Intuit Inc,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,97.56,262.660004
10/12/22,2022,MSFT,Micrsoft Corporation,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,97.56,262.660004
10/12/22,2022,NVDA,NVIDIA Corporation,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Semiconductors,Technology,Democrat,97.56,262.660004
10/12/22,2022,CRM,Salesforce Inc,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,97.56,262.660004
10/12/22,2022,TXN,Texas Instruments Inc,purchase,1001,15000,8001,Kathy Manning,NC06,NC,FALSE,Semiconductors,Technology,Democrat,97.56,262.660004
10/11/22,2022,AMD,Advanced Micro Devices Inc,purchase,15001,50000,32501,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,57.63,262.75
9/30/22,2022,COIN,Coinbase Global Inc,purchase,1001,15000,8001,Garret Graves,LA06,LA,FALSE,EDP Services,Technology,Republican,64.49,267.26001
9/27/22,2022,FLYW,Flywire Corporation - Voting,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,22.38,274.480011
9/26/22,2022,AMD,Advanced Micro Devices,purchase,1001,15000,8001,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,66.3,274.369995
9/26/22,2022,NVDA,NVIDIA,purchase,15001,50000,32501,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,66.3,274.369995
9/26/22,2022,AMD,Advanced Micro Devices,purchase,1001,15000,8001,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,66.3,274.369995
9/26/22,2022,AMD,Advanced Micro Devices,purchase,15001,50000,32501,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,66.3,274.369995
9/26/22,2022,NVDA,NVIDIA Corporation,purchase,15001,50000,32501,Thomas Suozzi,NY03,NY,FALSE,Semiconductors,Technology,Democrat,66.3,274.369995
